,auc,prec,rec,fscore,gmean
3,0.37851662404092073,0.033766233766233764,1.0,0.06532663316582915,0.08944271909999159
5,0.37851662404092073,0.034574468085106384,1.0,0.06683804627249358,0.16373653066597824
7,0.37851662404092073,0.03439153439153439,1.0,0.06649616368286444,0.1271711710197892
9,0.37851662404092073,0.09090909090909091,0.7692307692307693,0.16260162601626016,0.7488438730022433
11,0.37851662404092073,0.034666666666666665,1.0,0.06701030927835051,0.11672179831391769
13,0.37851662404092073,0.034482758620689655,1.0,0.06666666666666667,0.05234239225902137
15,0.37851662404092073,0.032,1.0,0.06201550387596899,0.052414241836095915
17,0.37851662404092073,0.03208556149732621,1.0,0.06217616580310882,0.0
19,0.37851662404092073,0.03278688524590164,1.0,0.06349206349206349,0.12909944487358055
21,0.37851662404092073,0.032520325203252036,1.0,0.06299212598425198,0.052851642258169
