,auc,prec,rec,fscore,gmean
3,0.37851662404092073,0.03430079155672823,1.0,0.0663265306122449,0.15491933384829668
5,0.37851662404092073,0.034482758620689655,1.0,0.06666666666666667,0.15533411192354932
7,0.37851662404092073,0.035422343324250684,1.0,0.06842105263157895,0.21406097828860826
9,0.37851662404092073,0.034031413612565446,1.0,0.06582278481012659,0.0
11,0.37851662404092073,0.03651685393258427,1.0,0.07046070460704608,0.2557246475564047
13,0.37851662404092073,0.03513513513513514,1.0,0.06788511749347258,0.14804664203952106
15,0.37851662404092073,0.0,0.0,0.0,0.0
17,0.37851662404092073,0.0,0.0,0.0,0.0
19,0.37851662404092073,0.032520325203252036,1.0,0.06299212598425198,0.09128709291752768
21,0.37851662404092073,0.0,0.0,0.0,0.0
