,auc,prec,rec,fscore,gmean
3,0.27621483375959077,0.034574468085106384,1.0,0.06683804627249358,0.17888543819998318
5,0.27621483375959077,0.033854166666666664,1.0,0.0654911838790932,0.07322520259382125
7,0.27621483375959077,0.03430079155672823,1.0,0.0663265306122449,0.11609086505314302
9,0.27621483375959077,0.03412073490813648,1.0,0.06598984771573604,0.052057920629535355
11,0.27621483375959077,0.03735632183908046,1.0,0.07202216066481995,0.2952853882102249
13,0.27621483375959077,0.034574468085106384,1.0,0.06683804627249358,0.07402332101976053
15,0.27621483375959077,0.03333333333333333,1.0,0.06451612903225806,0.20965696734438366
17,0.27621483375959077,0.032432432432432434,1.0,0.06282722513089005,0.10511766624552733
19,0.27621483375959077,0.03669724770642202,1.0,0.07079646017699115,0.3535533905932738
21,0.27621483375959077,0.03409090909090909,1.0,0.06593406593406592,0.22423052782558076
