,auc,prec,rec,fscore,gmean
3,0.46562082777036046,0.4727398205659075,1.0,0.6419868791002812,0.24550071834116302
5,0.46562082777036046,0.4839392869749382,1.0,0.6522359657469077,0.3158380828546184
7,0.46562082777036046,0.47323644097837647,1.0,0.6424446583253128,0.32375805334915414
9,0.46562082777036046,0.46019217570350035,1.0,0.6303172737955347,0.22129660782220653
11,0.46562082777036046,0.4564471879286694,1.0,0.6267953849776313,0.21657143627779066
13,0.46562082777036046,0.44625850340136053,1.0,0.6171213546566322,0.17917766974850455
15,0.46562082777036046,0.4668270883465108,1.0,0.6365127724396531,0.22666306886873042
17,0.46562082777036046,0.4526958290946083,1.0,0.623249299719888,0.16290487281679075
19,0.46562082777036046,0.4627808988764045,1.0,0.6327412385981758,0.29422298377099043
21,0.46562082777036046,0.45234853641933287,1.0,0.6229200843684087,0.18019832730010527
