,auc,prec,rec,fscore,gmean
3,0.46562082777036046,0.46990902729181244,1.0,0.6393715781956677,0.2889369715054173
5,0.46562082777036046,0.4763260946956212,1.0,0.6452857487340246,0.335038887482525
7,0.46562082777036046,0.4781048097631012,1.0,0.6469159786304032,0.35450879858503265
9,0.46562082777036046,0.4763765541740675,1.0,0.6453320500481232,0.329889505520377
11,0.46562082777036046,0.4479859894921191,1.0,0.6187711659409774,0.2846920488566826
13,0.46562082777036046,0.46345628415300544,0.9985283296541575,0.6330767436435735,0.19770210979875336
15,0.46562082777036046,0.48636859323882226,0.9992531740104555,0.654278728606357,0.38157379103226235
17,0.46562082777036046,0.48294629898403485,0.9992492492492493,0.6511741682974561,0.3767975762920886
19,0.46562082777036046,0.4730014025245442,1.0,0.6422280409426327,0.29285905032568865
21,0.46562082777036046,0.48139880952380953,0.9984567901234568,0.6495983935742973,0.4216529905831787
