,auc,prec,rec,fscore,gmean
3,0.45927903871829107,0.4702338766832034,1.0,0.6396722101711256,0.3228839487152108
5,0.45927903871829107,0.49311094996374183,1.0,0.6605148130160272,0.38072841822008374
7,0.45927903871829107,0.5029985007496252,1.0,0.6693266832917706,0.44477201076596373
9,0.45927903871829107,0.5022388059701492,1.0,0.6686537506209638,0.43706391243577736
11,0.45927903871829107,0.48026315789473684,1.0,0.648888888888889,0.2568295520238697
13,0.45927903871829107,0.5083018867924528,1.0,0.6740055041280961,0.45701707003921116
15,0.45927903871829107,0.48951048951048953,1.0,0.6572769953051644,0.40738817271884153
17,0.45927903871829107,0.46214006398862423,0.9969325153374233,0.6315278115132378,0.3223104522803031
19,0.45927903871829107,0.45708376421923474,0.9977426636568849,0.6269503546099291,0.2310083158383178
21,0.45927903871829107,0.5035835533760845,1.0,0.6698444555945811,0.4536447981590899
