,auc,prec,rec,fscore,gmean
3,0.9360189573459715,0.48360655737704916,0.8428571428571429,0.6145833333333334,0.9000215823338819
5,0.9360189573459715,0.3972602739726027,0.8529411764705882,0.5420560747663551,0.8980820106753281
7,0.9360189573459715,0.31840796019900497,0.9696969696969697,0.4794007490636704,0.9421201441210786
9,0.9360189573459715,0.3370165745856354,0.953125,0.4979591836734695,0.9393805818871814
11,0.9360189573459715,0.2643171806167401,0.967741935483871,0.41522491349480967,0.9315887344094237
13,0.9360189573459715,0.375,1.0,0.5454545454545454,0.9686048228472828
15,0.9360189573459715,0.28431372549019607,1.0,0.44274809160305345,0.9538160945123559
17,0.9360189573459715,0.39705882352941174,0.9642857142857143,0.5624999999999999,0.9567736708958091
19,0.9360189573459715,0.43478260869565216,0.9259259259259259,0.591715976331361,0.9427240606290116
21,0.9360189573459715,0.3384615384615385,0.8461538461538461,0.48351648351648346,0.8950860536582258
