,auc,prec,rec,fscore,gmean
3,0.985207100591716,0.5042016806722689,0.8571428571428571,0.6349206349206348,0.9087834389260872
5,0.985207100591716,0.31891891891891894,0.8676470588235294,0.466403162055336,0.8944719014867163
7,0.985207100591716,0.38181818181818183,0.9545454545454546,0.5454545454545455,0.9457114538535959
9,0.985207100591716,0.22794117647058823,0.96875,0.369047619047619,0.9181590653156243
11,0.985207100591716,0.2510460251046025,0.967741935483871,0.39867109634551495,0.9277285434914184
13,0.985207100591716,0.27906976744186046,1.0,0.43636363636363634,0.9508957458137433
15,0.985207100591716,0.2544642857142857,0.9827586206896551,0.4042553191489362,0.938788754447092
17,0.985207100591716,0.2558139534883721,0.9821428571428571,0.40590405904059035,0.9407556484985261
19,0.985207100591716,0.33986928104575165,0.9629629629629629,0.5024154589371981,0.9501853357743698
21,0.985207100591716,0.4090909090909091,0.8653846153846154,0.5555555555555556,0.9113832746072379
