,auc,prec,rec,fscore,gmean
3,0.985207100591716,0.4217687074829932,0.8857142857142857,0.5714285714285714,0.9160699634839731
5,0.985207100591716,0.28193832599118945,0.9411764705882353,0.4338983050847458,0.9199786921492149
7,0.985207100591716,0.22419928825622776,0.9545454545454546,0.3631123919308357,0.9088099352288153
9,0.985207100591716,0.21476510067114093,1.0,0.3535911602209945,0.9248659409085501
11,0.985207100591716,0.20394736842105263,1.0,0.33879781420765026,0.9221890440035052
13,0.985207100591716,0.22388059701492538,1.0,0.36585365853658536,0.9335128440002706
15,0.985207100591716,0.27884615384615385,1.0,0.4360902255639098,0.9525192671355913
17,0.985207100591716,0.2391304347826087,0.9821428571428571,0.3846153846153846,0.9359038593275972
19,0.985207100591716,0.25757575757575757,0.9444444444444444,0.4047619047619047,0.926627715549687
21,0.985207100591716,0.2598870056497175,0.8846153846153846,0.4017467248908297,0.9016613826849785
