,auc,prec,rec,fscore,gmean
3,0.9857988165680474,0.484375,0.8857142857142857,0.6262626262626262,0.9217293667909269
5,0.9857988165680474,0.3054187192118227,0.9117647058823529,0.4575645756457565,0.9123098784576535
7,0.9857988165680474,0.23443223443223443,0.9696969696969697,0.3775811209439528,0.9189338660238191
9,0.9857988165680474,0.21621621621621623,1.0,0.35555555555555557,0.9255339553986106
11,0.9857988165680474,0.20735785953177258,1.0,0.34349030470914127,0.923863013513339
13,0.9857988165680474,0.23346303501945526,1.0,0.3785488958990536,0.9371471317785387
15,0.9857988165680474,0.20863309352517986,1.0,0.34523809523809523,0.9295319608569871
17,0.9857988165680474,0.2301255230125523,0.9821428571428571,0.3728813559322034,0.9329806751148365
19,0.9857988165680474,0.2304147465437788,0.9259259259259259,0.36900369003690037,0.9112395687295232
21,0.9857988165680474,0.27710843373493976,0.8846153846153846,0.42201834862385323,0.9049902328089013
