,auc,prec,rec,fscore,gmean
3,0.9392,0.3888888888888889,0.15217391304347827,0.21875000000000003,0.386358448304738
5,0.9392,0.36363636363636365,0.08695652173913043,0.14035087719298245,0.2930834703713516
7,0.9392,0.3,0.13333333333333333,0.18461538461538463,0.3606678538669729
9,0.9392,0.3333333333333333,0.13333333333333333,0.19047619047619044,0.3612978418647564
11,0.9392,0.1875,0.06666666666666667,0.09836065573770493,0.2552375341332253
13,0.9392,0.25,0.09090909090909091,0.13333333333333333,0.2983150209652604
15,0.9392,0.3157894736842105,0.13636363636363635,0.19047619047619047,0.3650166204943731
17,0.9392,0.0,0.0,0.0,0.0
19,0.9392,0.0,0.0,0.0,0.0
21,0.9392,0.0,0.0,0.0,0.0
