,auc,prec,rec,fscore,gmean
3,0.9408,0.3020833333333333,1.0,0.464,0.9258200997725514
5,0.9408,0.32222222222222224,1.0,0.4873949579831933,0.932404962979763
7,0.9408,0.38666666666666666,1.0,0.5576923076923077,0.9492498453079696
9,0.9408,0.5178571428571429,1.0,0.6823529411764707,0.9704043823204747
11,0.9408,0.6304347826086957,1.0,0.7733333333333333,0.9813886305901587
13,0.9408,0.7435897435897436,1.0,0.8529411764705882,0.9890467671577884
15,0.9408,0.8055555555555556,1.0,0.8923076923076924,0.9923118024834338
17,0.9408,0.9666666666666667,1.0,0.983050847457627,0.9989004944448661
19,0.9408,0.9354838709677419,1.0,0.9666666666666666,0.9977900525473645
21,0.9408,0.9666666666666667,1.0,0.983050847457627,0.9988907373180403
