,auc,prec,rec,fscore,gmean
3,0.9408,0.26732673267326734,0.9310344827586207,0.41538461538461535,0.8855131391425807
5,0.9408,0.2761904761904762,1.0,0.43283582089552247,0.915018634041077
7,0.9408,0.3625,1.0,0.5321100917431192,0.9435690651166778
9,0.9408,0.4603174603174603,1.0,0.6304347826086957,0.9625829183660084
11,0.9408,0.6136363636363636,0.9310344827586207,0.7397260273972602,0.9469431471627064
13,0.9408,0.6744186046511628,1.0,0.8055555555555556,0.9846313577554705
15,0.9408,0.7073170731707317,1.0,0.8285714285714285,0.986783560012388
17,0.9408,0.6744186046511628,1.0,0.8055555555555556,0.9844951849708404
19,0.9408,0.90625,1.0,0.9508196721311475,0.9966832412776431
21,0.9408,0.8529411764705882,1.0,0.9206349206349206,0.9944413132502548
