,auc,prec,rec,fscore,gmean
3,0.9392,0.2606060606060606,0.9347826086956522,0.40758293838862564,0.858564848790135
5,0.9392,0.2647058823529412,0.782608695652174,0.3956043956043956,0.8040540003872578
7,0.9392,0.07269789983844911,1.0,0.1355421686746988,0.0
9,0.9392,0.07293354943273905,1.0,0.13595166163141995,0.0
11,0.9392,0.07317073170731707,1.0,0.13636363636363635,0.0
13,0.9392,0.07177814029363784,1.0,0.13394216133942158,0.0
15,0.9392,0.07201309328968904,1.0,0.13435114503816795,0.0
17,0.9392,0.0722495894909688,1.0,0.13476263399693722,0.0
19,0.9392,0.07248764415156507,1.0,0.13517665130568354,0.0
21,0.9392,0.07272727272727272,1.0,0.13559322033898305,0.0
