,auc,prec,rec,fscore,gmean
3,0.9957819597663855,0.9940021810250818,0.9949063125341095,0.9944540412764797,0.9723862513615298
5,0.9957819597663855,0.9911038489469862,0.9934485896269336,0.9922748341361448,0.9592951134045201
7,0.9957819597663855,0.989647657101344,0.9919898052066266,0.9908173470315482,0.9523455820328497
9,0.9957819597663855,0.9853684971098265,0.9932629278951202,0.9892999637286906,0.9338612411462118
11,0.9957819597663855,0.9816083663901911,0.9916211293260474,0.9865893439652047,0.9161297872957412
13,0.9957819597663855,0.9798814442248968,0.9939868804664723,0.986883763003166,0.9090249956945237
15,0.9957819597663855,0.9640898637891385,0.993437841779074,0.9785438549241404,0.8304945226785218
17,0.9957819597663855,0.9537815126050421,0.9934354485776805,0.9732047159699894,0.7735987910439279
19,0.9957819597663855,0.9396551724137931,0.9941627143378329,0.9661407551852509,0.6856611138934025
21,0.9957819597663855,0.9274426508071368,0.995985401459854,0.9604927408710955,0.5962338378325102
