,auc,prec,rec,fscore,gmean
3,0.9891304347826086,0.9958067456700092,0.9936328906676369,0.9947186304862503,0.9794215845659716
5,0.9891304347826086,0.9968847352024922,0.9899909008189263,0.993425858290723,0.9821827033464184
7,0.9891304347826086,0.9941531152932578,0.990533406153286,0.9923399598759804,0.9710142330287472
9,0.9891304347826086,0.9935956084172004,0.9887108521485798,0.9911472118280552,0.9677784195151813
11,0.9891304347826086,0.9856337515911984,0.9872495446265938,0.9864409864409864,0.9326256687233537
13,0.9891304347826086,0.9848981077147017,0.9863338192419825,0.9856154406409322,0.9290005876406832
15,0.9891304347826086,0.9840232389251997,0.987969376594969,0.985992359468801,0.9257611333828952
17,0.9891304347826086,0.9627981488074048,0.9863238512035011,0.9744190235993514,0.8221128307430061
19,0.9891304347826086,0.9469896436721081,0.9841298796059832,0.9652026120404329,0.732481152783319
21,0.9891304347826086,0.9452919516044187,0.9837591240875913,0.9641420012519003,0.7221570888401613
