,auc,prec,rec,fscore,gmean
3,0.9891304347826086,0.9950738916256158,0.9921775513916682,0.9936236108580798,0.9756503732428172
5,0.9891304347826086,0.9963410171972191,0.9910828025477707,0.9937049539275613,0.9804467354055428
7,0.9891304347826086,0.9959721713658001,0.9903513562716184,0.9931538110451847,0.9785641791706181
9,0.9891304347826086,0.9913808912525216,0.984340859431901,0.9878483325719507,0.9563817908784755
11,0.9891304347826086,0.9854253962470395,0.9852459016393442,0.9853356407687403,0.930882149437096
13,0.9891304347826086,0.9719626168224299,0.9854227405247813,0.9786463988418386,0.8682786184843848
15,0.9891304347826086,0.9691424470757086,0.984688297484506,0.9768535262206148,0.8541770526610607
17,0.9891304347826086,0.9548022598870056,0.9861415025528811,0.9702188733405095,0.7784230013549942
19,0.9891304347826086,0.9483062808750882,0.9804815760671288,0.9641255605381166,0.7401549259031598
21,0.9891304347826086,0.9408242338851708,0.9748175182481752,0.9575192686861445,0.6939282127395063
