,auc,prec,rec,fscore,gmean
3,0.9902660609993511,0.9950819672131147,0.993814808077133,0.9944479839810686,0.9764550334812369
5,0.9902660609993511,0.9954296160877514,0.9909008189262967,0.9931600547195623,0.9765494910348096
7,0.9902660609993511,0.9954287803986104,0.9910795557982888,0.9932494070425105,0.9766375611664031
9,0.9902660609993511,0.9912424740010947,0.9892571012381646,0.9902487924906588,0.9579898432148827
11,0.9902660609993511,0.9845707024868398,0.9879781420765027,0.986271479225384,0.9281729561561256
13,0.9902660609993511,0.9771294795605979,0.9887026239067055,0.982881985327416,0.8942026375407257
15,0.9902660609993511,0.9757281553398058,0.9892453518045935,0.982440260680666,0.8877604751858204
17,0.9902660609993511,0.9658012533572068,0.9835886214442013,0.9746137862498869,0.8370536195265574
19,0.9902660609993511,0.9555555555555556,0.9804815760671288,0.967858107499775,0.7818723400673133
21,0.9902660609993511,0.9357092941998603,0.9773722627737226,0.9560871117458051,0.6600727754932194
