,auc,prec,rec,fscore,gmean
3,0.819,0.5909365558912387,0.6089663760896638,0.5998160073597056,0.559280992970242
5,0.819,0.5547945205479452,0.6056074766355141,0.579088471849866,0.5157659343955253
7,0.819,0.553623188405797,0.5950155763239875,0.5735735735735735,0.5149420635661534
9,0.819,0.5495268138801261,0.5430174563591023,0.546252743806836,0.5135019660665417
11,0.819,0.5491606714628298,0.5714285714285714,0.5600733720574749,0.5114811203267583
13,0.819,0.5444794952681388,0.5387016229712859,0.5415751490429871,0.5080150360037275
15,0.819,0.5329949238578681,0.525,0.5289672544080605,0.4961976634488732
17,0.819,0.5339087546239211,0.54125,0.5375543140906269,0.4955765311895792
19,0.819,0.5154852030282174,0.46841776110068795,0.4908256880733945,0.4795572643248303
21,0.819,0.5258988421694089,0.5400500625782227,0.5328805186786044,0.4858267885260416
