,auc,prec,rec,fscore,gmean
3,0.826,0.5794663573085846,0.6220423412204235,0.6000000000000001,0.545950506152453
5,0.826,0.5554870530209618,0.5613707165109034,0.5584133870467927,0.5199944561325234
7,0.826,0.5541718555417185,0.5545171339563862,0.5543444409841172,0.5183390091471355
9,0.826,0.5380622837370242,0.5816708229426434,0.5590173756740563,0.4959786217934958
11,0.826,0.5386376645678306,0.587024329382408,0.5617910447761194,0.4958814771139952
13,0.826,0.5432926829268293,0.5561797752808989,0.5496607032695867,0.5055867655784613
15,0.826,0.5412521942656524,0.578125,0.5590812934421275,0.5011035800907813
17,0.826,0.5418160095579451,0.566875,0.5540623091020159,0.5027107695032667
19,0.826,0.5363344051446945,0.5215759849906192,0.528852251109702,0.49966243273220806
21,0.826,0.5202492211838006,0.5225281602002503,0.5213862004370902,0.4810348483804537
