,auc,prec,rec,fscore,gmean
3,0.981081081081081,0.0297029702970297,1.0,0.05769230769230769,0.678273614715133
5,0.981081081081081,0.02710027100271003,1.0,0.05277044854881267,0.0
7,0.981081081081081,0.02168021680216802,1.0,0.04244031830238727,0.0
9,0.981081081081081,0.04076086956521739,1.0,0.0783289817232376,0.0
11,0.981081081081081,0.029891304347826088,1.0,0.05804749340369393,0.0
13,0.981081081081081,0.02452316076294278,1.0,0.047872340425531915,0.0
15,0.981081081081081,0.02452316076294278,1.0,0.047872340425531915,0.0
17,0.981081081081081,0.035422343324250684,1.0,0.06842105263157895,0.0
19,0.981081081081081,0.030054644808743168,1.0,0.058355437665782495,0.0
21,0.981081081081081,0.01912568306010929,1.0,0.03753351206434317,0.0
