,auc,prec,rec,fscore,gmean
3,0.981081081081081,0.04522613065326633,0.75,0.08530805687203792,0.5923177661816786
5,0.981081081081081,0.05699481865284974,0.8461538461538461,0.10679611650485438,0.6430937540444043
7,0.981081081081081,0.05714285714285714,0.8,0.10666666666666666,0.5937527876830188
9,0.981081081081081,0.042105263157894736,0.8888888888888888,0.08040201005025124,0.6620078627926236
11,0.981081081081081,0.03571428571428571,0.7,0.06796116504854369,0.5748451333831588
13,0.981081081081081,0.038834951456310676,0.8888888888888888,0.07441860465116279,0.6302926123294206
15,0.981081081081081,0.08095238095238096,0.9444444444444444,0.14912280701754388,0.6497372917056914
17,0.981081081081081,0.0861244019138756,0.9,0.1572052401746725,0.6360903638702959
19,0.981081081081081,0.04716981132075472,0.7692307692307693,0.08888888888888889,0.5736268149375762
21,0.981081081081081,0.036036036036036036,0.8888888888888888,0.06926406926406926,0.5967022142778764
