,auc,prec,rec,fscore,gmean
3,0.972972972972973,0.06382978723404255,0.8,0.11822660098522167,0.634239613242227
5,0.972972972972973,0.02710027100271003,1.0,0.05277044854881267,0.0
7,0.972972972972973,0.02168021680216802,1.0,0.04244031830238727,0.0
9,0.972972972972973,0.021739130434782608,1.0,0.042553191489361694,0.0
11,0.972972972972973,0.021739130434782608,1.0,0.042553191489361694,0.0
13,0.972972972972973,0.035422343324250684,1.0,0.06842105263157895,0.0
15,0.972972972972973,0.03814713896457766,1.0,0.07349081364829398,0.0
17,0.972972972972973,0.03814713896457766,1.0,0.07349081364829398,0.0
19,0.972972972972973,0.01912568306010929,1.0,0.03753351206434317,0.0
21,0.972972972972973,0.03278688524590164,1.0,0.06349206349206349,0.0
