,auc,prec,rec,fscore,gmean
3,0.981081081081081,0.09424083769633508,0.9473684210526315,0.1714285714285714,0.6921688698293952
5,0.981081081081081,0.03550295857988166,0.8571428571428571,0.06818181818181819,0.6864341131046595
7,0.981081081081081,0.06172839506172839,0.7692307692307693,0.1142857142857143,0.6639240618446386
9,0.981081081081081,0.07602339181286549,0.9285714285714286,0.14054054054054055,0.7170246117012378
11,0.981081081081081,0.05952380952380952,0.9090909090909091,0.11173184357541899,0.711862454275387
13,0.981081081081081,0.04975124378109453,0.9090909090909091,0.09433962264150944,0.6491134836118733
15,0.981081081081081,0.04060913705583756,0.8888888888888888,0.07766990291262135,0.647777080385011
17,0.981081081081081,0.06018518518518518,0.9285714285714286,0.11304347826086955,0.6281537186818272
19,0.981081081081081,0.04186046511627907,1.0,0.08035714285714286,0.6503608134528632
21,0.981081081081081,0.045662100456621,0.9090909090909091,0.08695652173913043,0.6114569825304764
