,auc,prec,rec,fscore,gmean
3,0.37851662404092073,0.0,0.0,0.0,0.0
5,0.37851662404092073,0.0,0.0,0.0,0.0
7,0.37851662404092073,0.01818181818181818,1.0,0.03571428571428572,0.0
9,0.37851662404092073,0.018276762402088774,1.0,0.0358974358974359,0.0
11,0.37851662404092073,0.01837270341207349,1.0,0.03608247422680412,0.0
13,0.37851662404092073,0.018469656992084433,1.0,0.036269430051813475,0.0
15,0.37851662404092073,0.01856763925729443,1.0,0.036458333333333336,0.0
17,0.37851662404092073,0.018666666666666668,1.0,0.03664921465968587,0.0
19,0.37851662404092073,0.01876675603217158,1.0,0.03684210526315789,0.0
21,0.37851662404092073,0.018867924528301886,1.0,0.037037037037037035,0.0
