,auc,prec,rec,fscore,gmean
3,0.9202003338898164,0.8275627970128988,0.9124251497005988,0.8679245283018868,0.8790978948457984
5,0.9202003338898164,0.9053846153846153,0.9019157088122606,0.9036468330134357,0.9144798100038201
7,0.9202003338898164,0.9679276315789473,0.8547567175018156,0.9078287697647512,0.9133202096062791
9,0.9202003338898164,0.9735576923076923,0.8986686390532544,0.9346153846153846,0.9384128572935607
11,0.9202003338898164,0.9457530335474661,0.975699558173785,0.9604929322218195,0.9645587912762515
13,0.9202003338898164,0.9122807017543859,0.991929567131328,0.950439367311072,0.9554408012145278
15,0.9202003338898164,0.9872813990461049,0.9430523917995444,0.9646601941747572,0.9664623660569107
17,0.9202003338898164,0.9820592823712948,0.9699537750385208,0.975968992248062,0.9781575335251375
19,0.9202003338898164,0.9603680113234253,0.986909090909091,0.9734576757532282,0.9760899267574832
21,0.9202003338898164,0.9533045977011494,0.9954988747186797,0.9739449541284404,0.9780056241068117
