,auc,prec,rec,fscore,gmean
3,0.8193333333333334,0.5886075949367089,0.636986301369863,0.6118421052631579,0.556595592648122
5,0.8193333333333334,0.5561797752808989,0.616822429906542,0.58493353028065,0.5162424936737595
7,0.8193333333333334,0.5517426273458444,0.6411214953271028,0.5930835734870317,0.5052212532131476
9,0.8193333333333334,0.5415968732551647,0.6047381546134664,0.5714285714285714,0.49702757221328
11,0.8193333333333334,0.5429394812680115,0.5876481597005615,0.5644098262432594,0.5016648611588312
13,0.8193333333333334,0.5466823253082795,0.5811485642946317,0.5633888048411498,0.5073949670431691
15,0.8193333333333334,0.5387878787878788,0.555625,0.5470769230769231,0.5005520941819133
17,0.8193333333333334,0.534834992142483,0.638125,0.5819321744086635,0.47821772921106964
19,0.8193333333333334,0.5259704756697648,0.6016260162601627,0.5612602100350058,0.47378037233268355
21,0.8193333333333334,0.5318782309017805,0.5794743429286608,0.5546570829589696,0.4875898020672636
